epochs	4-2-3	4-3-3	4-4-3	4-5-3	4-6-3	4-7-3	4-8-3	4-9-3	4-10-3
9300	0.044086	0.03778	0.014571	0.04783	0.021974	0.014965	0.015678	0.017411	0.014963
9350	0.050958	0.042219	0.014593	0.037731	0.021368	0.014975	0.01577	0.017432	0.01492
9400	0.061029	0.040152	0.014573	0.047071	0.021434	0.014933	0.015616	0.017593	0.014912
9450	0.05204	0.045865	0.014482	0.059165	0.019617	0.014879	0.01566	0.017127	0.014581
9500	0.047811	0.045105	0.014427	0.046759	0.020158	0.014539	0.015177	0.016975	0.014648
9550	0.033729	0.044948	0.014399	0.048112	0.020532	0.014752	0.015486	0.016596	0.014647
9600	0.043402	0.052342	0.014227	0.054124	0.020666	0.014638	0.015163	0.017073	0.014428
9650	0.047435	0.040121	0.01419	0.048248	0.020791	0.014584	0.015094	0.016874	0.014228
9700	0.041655	0.033455	0.014225	0.051137	0.020227	0.014542	0.015181	0.016357	0.01433
9750	0.027562	0.031505	0.014121	0.063065	0.019445	0.014474	0.015089	0.016407	0.01413
9800	0.034546	0.062987	0.014083	0.039281	0.020151	0.014328	0.014776	0.016406	0.014129
9850	0.040497	0.035815	0.013981	0.052494	0.018525	0.014282	0.01467	0.016588	0.013849
9900	0.030331	0.056767	0.01392	0.047387	0.019883	0.014226	0.014923	0.016109	0.013792
9950	0.033036	0.032761	0.013837	0.050784	0.019185	0.014184	0.014816	0.016272	0.01389
10000	0.04258	0.033075	0.013784	0.034894	0.019189	0.01413	0.01445	0.016085	0.01384
10050	0.030905	0.044389	0.013718	0.032917	0.019154	0.014044	0.014473	0.016036	0.013673
10100	0.035641	0.037963	0.013625	0.041115	0.019132	0.013973	0.014507	0.015723	0.013694
10150	0.034178	0.041374	0.013586	0.037735	0.017918	0.013741	0.014439	0.015685	0.01353
10200	0.029148	0.036698	0.013519	0.041456	0.018399	0.013892	0.014302	0.015727	0.013347
10250	0.040957	0.032771	0.013489	0.039713	0.017502	0.01377	0.014318	0.015313	0.013274
10300	0.039514	0.032884	0.013358	0.034972	0.018038	0.013785	0.014206	0.015458	0.013431
10350	0.02987	0.029551	0.013391	0.04998	0.018607	0.013663	0.014174	0.015408	0.013291
10400	0.041756	0.043057	0.013314	0.034838	0.017276	0.013698	0.014004	0.015267	0.01317
10450	0.044295	0.045009	0.013304	0.033807	0.017209	0.013474	0.014047	0.014874	0.01301
10500	0.031799	0.031612	0.013194	0.047213	0.017344	0.013533	0.013996	0.015183	0.0131
10550	0.044007	0.028322	0.013132	0.041053	0.017098	0.013481	0.013816	0.015025	0.01302
10600	0.035961	0.033861	0.013056	0.037093	0.017376	0.013365	0.013825	0.014934	0.012971
10650	0.030201	0.039264	0.013045	0.042216	0.017498	0.013393	0.01366	0.014985	0.012907
10700	0.037041	0.054881	0.012986	0.039159	0.017394	0.0132	0.013487	0.014764	0.0128
10750	0.038199	0.027886	0.012989	0.038172	0.017032	0.013297	0.013531	0.014699	0.012718
10800	0.032096	0.038174	0.012893	0.034728	0.016849	0.013244	0.013556	0.014671	0.01264
10850	0.044085	0.039913	0.012855	0.042845	0.016881	0.013157	0.013324	0.014549	0.012607
10900	0.038569	0.03824	0.012729	0.033701	0.016838	0.013155	0.013334	0.014192	0.012626
10950	0.053755	0.030487	0.012689	0.035381	0.016624	0.012991	0.013386	0.014253	0.01251
11000	0.0292	0.037348	0.012688	0.032731	0.016015	0.013007	0.013256	0.014088	0.012439
